movie_title,Words
the aviator,Biography Drama Martin Scorsese Leonardo DiCaprio Adam Scott Frances Conroy
gulliver's travels,Adventure Comedy Family Fantasy Rob Letterman James Corden Catherine Tate Olly Alexander
the green hornet,Action Comedy Crime Sci-Fi Thriller Michel Gondry Christoph Waltz Tom Wilkinson Chad L. Coleman
the a-team            ,Action Adventure Crime unknown George Peppard Dirk Benedict Dwight Schultz
300: rise of an empire,Action Drama Fantasy War Noam Murro Eva Green Sullivan Stapleton Peter Mensah
the smurfs,Adventure Animation Comedy Family Fantasy Raja Gosnell Mahadeo Shivraj Tim Gunn Madison McKinley
home on the range,Animation Comedy Family Music Western Will Finn Steve Buscemi Roseanne Barr G.W. Bailey
allegiant,Action Adventure Mystery Sci-Fi Thriller Robert Schwentke Naomi Watts Theo James Zoë Kravitz
real steel,Action Drama Sci-Fi Sport Shawn Levy Hugh Jackman Torey Michael Adkins Olga Fonda
the smurfs 2,Adventure Animation Comedy Family Fantasy Raja Gosnell Jacob Tremblay Nancy O'Dell Vanessa Matsui
speed 2: cruise control,Action Crime Romance Thriller Jan de Bont Jason Patric Temuera Morrison Lois Chiles
ender's game,Action Sci-Fi Gavin Hood Harrison Ford Moises Arias Aramis Knight
live free or die hard,Action Adventure Thriller Len Wiseman Bruce Willis Jonathan Sadowski Cyril Raffaelli
the lord of the rings: the fellowship of the ring,Action Adventure Drama Fantasy Peter Jackson Christopher Lee Orlando Bloom Billy Boyd
ali,Biography Drama Sport Michael Mann Will Smith Jada Pinkett Smith Joe Morton
the cat in the hat,Adventure Comedy Family Fantasy Bo Welch Sean Hayes Kelly Preston Spencer Breslin
"i, robot",Action Mystery Sci-Fi Thriller Alex Proyas Will Smith Bruce Greenwood Chi McBride
kingdom of heaven,Action Adventure Drama History War Ridley Scott Liam Neeson Orlando Bloom Philip Glenister
stuart little,Adventure Comedy Family Fantasy Rob Minkoff Chazz Palminteri Nathan Lane Jeffrey Jones
the princess and the frog,Animation Family Fantasy Musical Romance Ron Clements Oprah Winfrey Jenifer Lewis Anika Noni Rose
the martian,Adventure Drama Sci-Fi Ridley Scott Matt Damon Donald Glover Benedict Wong
"10,000 b.c.            ",Comedy Christopher Barnard Mathew Buck unknown unknown
town & country,Comedy Romance Peter Chelsom Del Zamora Warren Beatty Garry Shandling
gone in sixty seconds,Action Crime Thriller Dominic Sena Nicolas Cage Angelina Jolie Pitt Robert Duvall
gladiator,Action Drama Romance Ridley Scott Djimon Hounsou Connie Nielsen Oliver Reed
minority report,Action Mystery Sci-Fi Thriller Steven Spielberg Tom Cruise Frank Grillo Jessica Capshaw
harry potter and the chamber of secrets,Adventure Family Fantasy Mystery Chris Columbus Daniel Radcliffe Rupert Grint Emma Watson
terminator 2: judgment day,Action Sci-Fi James Cameron Joe Morton Jenette Goldstein S. Epatha Merkerson
public enemies,Biography Crime Drama History Romance Michael Mann Johnny Depp Christian Bale Stephen Graham
american gangster,Biography Crime Drama Ridley Scott Denzel Washington Ruby Dee RZA
true lies,Action Comedy Thriller James Cameron Jamie Lee Curtis Tia Carrere Tom Arnold
