movie_title,Words
the last shot,Comedy Jeff Nathanson Matthew Broderick Glenn Morshower Tim Blake Nelson
the crow,Action Drama Fantasy Alex Proyas Michael Wincott Bai Ling David Patrick Kelly
baahubali: the beginning,Action Adventure Drama Fantasy War S.S. Rajamouli Tamannaah Bhatia Anushka Shetty Prabhas
the time traveler's wife,Drama Fantasy Romance Sci-Fi Robert Schwentke Arliss Howard Brooklynn Proulx Michelle Nolden
because i said so,Comedy Romance Michael Lehmann Colin Ferguson Stephen Collins Tom Everett Scott
the fast and the furious,Action Crime Thriller Rob Cohen Paul Walker Vin Diesel Jordana Brewster
frankenweenie,Animation Comedy Family Horror Sci-Fi Tim Burton Martin Landau Catherine O'Hara Atticus Shaffer
serenity,Action Adventure Sci-Fi Thriller Joss Whedon Adam Baldwin Sean Maher Michael Hitchcock
against the ropes,Biography Drama Romance Sport Charles S. Dutton Omar Epps Charles S. Dutton Tim Daly
superman iii,Action Comedy Sci-Fi Richard Lester Margot Kidder Robert Vaughn Jackie Cooper
grudge match,Comedy Sport Peter Segal Robert De Niro Sylvester Stallone Oscar Gale
red cliff,Action Adventure Drama History War John Woo Takeshi Kaneshiro Tony Chiu Wai Leung Wei Zhao
sweet home alabama,Comedy Romance Andy Tennant Ethan Embry Mary Lynn Rajskub Courtney Gains
the ugly truth,Comedy Romance Robert Luketic Gerard Butler John Michael Higgins Eric Winter
sgt. bilko,Comedy Jonathan Lynn Austin Pendleton Phil Hartman Max Casella
spy kids 2: island of lost dreams,Action Adventure Comedy Family Sci-Fi Robert Rodriguez Steve Buscemi Alexa PenaVega Emily Osment
star trek: generations,Action Adventure Mystery Sci-Fi Thriller David Carson LeVar Burton Alan Ruck Jonathan Frakes
the grandmaster,Action Biography Drama Kar-Wai Wong Tony Chiu Wai Leung Hye-kyo Song Elvis Tsui
water for elephants,Drama Romance Francis Lawrence Robert Pattinson Christoph Waltz James Frain
3rd rock from the sun            ,Comedy Family Sci-Fi unknown Joseph Gordon-Levitt Wayne Knight Kristen Johnston
dragon nest: warriors' dawn,Adventure Animation Family Fantasy Yuefeng Song Blythe Auffarth Bianca Collins Jiao Xu
the hurricane,Biography Drama Sport Norman Jewison Denzel Washington Vincent Pastore Deborah Kara Unger
enough,Crime Drama Thriller Michael Apted Bill Cobbs Jeff Kober Billy Campbell
heartbreakers,Comedy Crime Romance David Mirkin Sarah Silverman Anne Bancroft Jeffrey Jones
paul blart: mall cop 2,Action Comedy Crime Andy Fickman D.B. Woodside Daniella Alonso Eduardo Verástegui
angel eyes,Drama Romance Luis Mandoki Sonia Braga Shirley Knight Kari Matchett
joe somebody,Comedy Drama John Pasquin Jim Belushi Ken Marino Kelly Lynch
the ninth gate,Mystery Thriller Roman Polanski Johnny Depp Frank Langella Lena Olin
extreme measures,Crime Drama Mystery Thriller Michael Apted J.K. Simmons Paul Guilfoyle Bill Nunn
rock star,Drama Music Stephen Herek Beth Grant Dagmara Dominczyk Matthew Glave
white squall,Adventure Drama Ridley Scott Jeff Bridges Jason Marsden Ethan Embry
the thing,Horror Mystery Sci-Fi John Carpenter Wilford Brimley Richard Masur David Clennon
riddick,Action Sci-Fi Thriller David Twohy Vin Diesel Nolan Gerard Funk Bokeem Woodbine
switchback,Crime Mystery Thriller Jeb Stuart Gregory Scott Cummins Claudia Stedelin Ted Markland
texas rangers,Action Adventure Drama Thriller Western Steve Miner Tom Skerritt Usher Raymond Leonor Varela
city of ember,Adventure Family Fantasy Sci-Fi Gil Kenan Bill Murray Toby Jones Harry Treadaway
the master,Drama Paul Thomas Anderson Mike Howard Jeffrey W. Jenkins Bruce Goodchild
virgin territory,Adventure Comedy History Romance David Leland Hayden Christensen Ryan Cartwright David Walliams
the express,Biography Drama Sport Gary Fleder Dennis Quaid Nicole Beharie Charles S. Dutton
the 5th wave,Action Adventure Sci-Fi Thriller J Blakeson Chloë Grace Moretz Maggie Siff Nick Robinson
creed,Drama Sport Ryan Coogler Sylvester Stallone Phylicia Rashad Graham McTavish
the town,Crime Drama Thriller Ben Affleck Jeremy Renner Jon Hamm Owen Burke
what to expect when you're expecting,Comedy Drama Romance Kirk Jones Anna Kendrick Dennis Quaid Thomas Lennon
burn after reading,Comedy Drama Ethan Coen J.K. Simmons Brad Pitt Kevin Sussman
nim's island,Adventure Comedy Family Fantasy Jennifer Flackett Gerard Butler Anthony Simcoe Christopher James Baker
rush,Action Biography Drama Sport Ron Howard Chris Hemsworth Olivia Wilde Alexandra Maria Lara
magnolia,Drama Paul Thomas Anderson Patton Oswalt Neil Flynn Jim Meskimen
cop out,Action Comedy Crime Kevin Smith Bruce Willis Tracy Morgan Kevin Pollak
how to be single,Comedy Romance Christian Ditter Alison Brie Damon Wayans Jr. Nicholas Braun
dolphin tale,Drama Family Charles Martin Smith Morgan Freeman Michael Roark Harry Connick Jr.
john q,Crime Drama Thriller Nick Cassavetes Denzel Washington Laura Harring Anne Heche
blue streak,Action Comedy Crime Thriller Les Mayfield Peter Greene Dave Chappelle Tamala Jones
we're the millers,Comedy Crime Rawson Marshall Thurber Laura-Leigh Molly C. Quinn Thomas Lennon
obitaemyy ostrov,Action Adventure Sci-Fi Fedor Bondarchuk Yuliya Snigir Fedor Bondarchuk Aleksey Serebryakov
breakdown,Action Crime Drama Mystery Thriller Jonathan Mostow Kathleen Quinlan M.C. Gainey J.T. Walsh
never say never again,Action Adventure Thriller Irvin Kershner Bernie Casey Klaus Maria Brandauer Barbara Carrera
hot tub time machine,Comedy Sci-Fi Steve Pink Charlie McDermott Collette Wolfe Crystal Lowe
dolphin tale 2,Drama Family Charles Martin Smith Morgan Freeman Taylor Blackwell Harry Connick Jr.
reindeer games,Action Adventure Crime Drama Family Fantasy Romance Thriller John Frankenheimer Charlize Theron James Frain Clarence Williams III
a man apart,Action Crime Drama Thriller F. Gary Gray Vin Diesel Jeff Kober Larenz Tate
ghosts of mississippi,Drama History Rob Reiner Alexa PenaVega Virginia Madsen Craig T. Nelson
snow falling on cedars,Drama Mystery Romance Thriller Scott Hicks Rick Yune Reeve Carney Daniel von Bargen
the rite,Drama Horror Mystery Thriller Mikael Håfström Anthony Hopkins Colin O'Donoghue Toby Jones
gattaca,Drama Sci-Fi Thriller Andrew Niccol Blair Underwood Xander Berkeley Mason Gamble
isn't she great,Biography Comedy Romance Andrew Bergman Stockard Channing Nathan Lane John Larroquette
space chimps,Adventure Animation Comedy Family Sci-Fi Kirk De Micco Cheryl Hines Kenan Thompson Omid Abtahi
head of state,Comedy Chris Rock Bernie Mac Dylan Baker Tracy Morgan
the hangover,Comedy Todd Phillips Bradley Cooper Rob Riggle Mike Epps
ip man 3,Action Biography Drama History Wilson Yip Mike Tyson Lynn Hung Kwok-Kwan Chan
austin powers: the spy who shagged me,Action Adventure Comedy Crime Jay Roach Muse Watson Verne Troyer Robert Wagner
batman,Action Adventure Tim Burton Michael Gough Jack Palance William Hootkins
there be dragons,Biography Drama War Roland Joffé Jordi Mollà Dougray Scott Lily Cole
lethal weapon 3,Action Crime Thriller Richard Donner Rene Russo Nick Chinlund Stuart Wilson
the blind side,Biography Drama Sport John Lee Hancock Catherine Dyer Quinton Aaron Kim Dickens
rush hour            ,Action Comedy Crime unknown Jon Foo Aimee Garcia Wendie Malick
spy kids,Action Adventure Comedy Family Sci-Fi Robert Rodriguez Alexa PenaVega Cheech Marin Daryl Sabara
horrible bosses,Comedy Crime Seth Gordon Kevin Spacey Lindsay Sloane Reginald Ballard
true grit,Adventure Drama Western Ethan Coen Matt Damon Jeff Bridges Bruce Green
the devil wears prada,Comedy Drama Romance David Frankel Meryl Streep Anne Hathaway Rebecca Mader
star trek: the motion picture,Adventure Mystery Sci-Fi Robert Wise Leonard Nimoy Nichelle Nichols Walter Koenig
identity thief,Comedy Crime Seth Gordon Jon Favreau Eric Stonestreet T.I.
cape fear,Crime Thriller Martin Scorsese Robert De Niro Robert Mitchum Joe Don Baker
21,Crime Drama Thriller Robert Luketic Kevin Spacey Jim Sturgess Josh Gad
trainwreck,Comedy Romance Judd Apatow Amy Schumer Randall Park Josh Segarra
guess who,Comedy Romance Kevin Rodney Sullivan Bernie Mac Nicole Sullivan Sherri Shepherd
the english patient,Drama Romance War Anthony Minghella Colin Firth Kristin Scott Thomas Jürgen Prochnow
l.a. confidential,Crime Drama Mystery Thriller Curtis Hanson Kevin Spacey Matt McCoy Paul Guilfoyle
sky high,Adventure Comedy Family Sci-Fi Mike Mitchell Michael Angarano Kelly Preston Nicholas Braun
in & out,Comedy Frank Oz Tom Selleck Wilford Brimley Lauren Ambrose
species,Action Horror Sci-Fi Thriller Roger Donaldson Natasha Henstridge Marg Helgenberger Jordan Lund
the cell,Horror Sci-Fi Thriller Tarsem Singh Dylan Baker Jake Weber James Gammon
the man in the iron mask,Action Adventure Randall Wallace Leonardo DiCaprio Anne Parillaud Judith Godrèche
secretariat,Biography Drama Family History Sport Randall Wallace Scott Glenn Kevin Connolly Dylan Walsh
tmnt,Action Adventure Animation Comedy Family Fantasy Sci-Fi Kevin Munroe Chris Evans Sarah Michelle Gellar Mako
radio,Biography Drama Sport Michael Tollin Alfre Woodard Riley Smith Debra Winger
friends with benefits,Comedy Romance Will Gluck Mila Kunis Justin Timberlake Masi Oka
neighbors 2: sorority rising,Comedy Nicholas Stoller Chloë Grace Moretz Ike Barinholtz Kiersey Clemons
saving mr. banks,Biography Comedy Drama History Music John Lee Hancock Tom Hanks Ruth Wilson B.J. Novak
malcolm x,Biography Drama History Romance Spike Lee Denzel Washington Delroy Lindo Al Freeman Jr.
this is 40,Comedy Judd Apatow Charlyne Yi Maude Apatow Mackenzie Aladjem
old dogs,Comedy Family Walt Becker Robin Williams Bernie Mac Ann-Margret
underworld: rise of the lycans,Action Adventure Fantasy Sci-Fi Thriller Patrick Tatopoulos Craig Parker Kevin Grevioux Steven Mackintosh
license to wed,Comedy Romance Ken Kwapis Robin Williams Christine Taylor Mindy Kaling
the benchwarmers,Comedy Romance Sport Dennis Dugan Jon Lovitz Jon Heder Tim Meadows
must love dogs,Comedy Romance Gary David Goldberg Stockard Channing Victor Webster Elizabeth Perkins
donnie brasco,Biography Crime Drama Mike Newell Johnny Depp Al Pacino Anne Heche
resident evil,Action Horror Sci-Fi Paul W.S. Anderson Milla Jovovich Jaymes Butler Colin Salmon
the ladykillers,Comedy Crime Thriller Ethan Coen J.K. Simmons Tom Hanks Stephen Root
max payne,Action Crime Drama Mystery Thriller John Moore Mila Kunis Beau Bridges Jamie Hector
in time,Action Sci-Fi Thriller Andrew Niccol Matt Bomer Olivia Wilde Justin Timberlake
the back-up plan,Comedy Romance Alan Poul Danneel Ackles Noureen DeWulf Tom Bosley
something borrowed,Comedy Drama Romance Luke Greenfield Ashley Williams Steve Howey Kirsten Day
hit the floor            ,Drama Romance unknown Jodi Lyn O'Keefe Kimberly Elise Logan Browning
black knight,Adventure Comedy Fantasy Gil Junger Tom Wilkinson Marsha Thomason Vincent Regan
the bad news bears,Comedy Drama Family Sport Michael Ritchie Tatum O'Neal Vic Morrow Joyce Van Patten
street fighter,Action Adventure Comedy Thriller Steven E. de Souza Ming-Na Wen Raul Julia Kylie Minogue
the pianist,Biography Drama War Roman Polanski Emilia Fox Frank Finlay Ed Stoppard
from hell,Horror Mystery Thriller Albert Hughes Johnny Depp Jason Flemyng Ian Richardson
the nativity story,Drama Family Fantasy Catherine Hardwicke Keisha Castle-Hughes Hiam Abbass Shaun Toub
closer,Drama Romance Mike Nichols Natalie Portman Julia Roberts Colin Stinton
j. edgar,Biography Crime Drama Clint Eastwood Leonardo DiCaprio Naomi Watts Kaitlyn Dever
mirrors,Horror Mystery Alexandre Aja Jason Flemyng Cameron Boyce Julian Glover
queen of the damned,Drama Fantasy Horror Michael Rymer Aaliyah Lena Olin Bruce Spence
predator 2,Action Horror Sci-Fi Stephen Hopkins Adam Baldwin Robert Davi Kevin Peter Hall
untraceable,Crime Drama Thriller Gregory Hoblit Billy Burke Jesse Tyler Ferguson Joseph Cross
blast from the past,Comedy Drama Romance Sci-Fi Hugh Wilson Brendan Fraser Sissy Spacek Douglas Smith
flash gordon,Action Adventure Sci-Fi Mike Hodges Brian Blessed William Hootkins Sam J. Jones
jersey girl,Comedy Drama Romance Kevin Smith Stephen Root Mike Starr George Carlin
alex cross,Action Crime Mystery Thriller Rob Cohen Cicely Tyson Chad Lindberg Carmen Ejogo
midnight in the garden of good and evil,Crime Drama Mystery Thriller Clint Eastwood Kevin Spacey Bob Gunton Leon Rippy
nanny mcphee returns,Comedy Family Fantasy Susanna White Daniel Mays Bill Bailey Eros Vlahos
hoffa,Biography Crime Drama Danny DeVito Frank Whaley J.T. Walsh Paul Guilfoyle
the x files: i want to believe,Drama Mystery Sci-Fi Thriller Chris Carter Mitch Pileggi Callum Rennie Nicki Aycox
ella enchanted,Comedy Family Fantasy Romance Tommy O'Haver Anne Hathaway Steve Coogan Joanna Lumley
concussion,Biography Drama Sport Peter Landesman Will Smith Eddie Marsan Albert Brooks
valiant,Adventure Animation Comedy Family War Gary Chapman Jim Broadbent Olivia Williams Pip Torrens
wonder boys,Comedy Drama Curtis Hanson Robert Downey Jr. Rip Torn Richard Thomas
superhero movie,Action Comedy Sci-Fi Thriller Craig Mazin Drake Bell Tracy Morgan Marion Ross
broken city,Crime Drama Thriller Allen Hughes Alona Tal James Ransone Michael Beach
cursed,Comedy Horror Wes Craven Shannon Elizabeth Portia de Rossi Derek Mears
premium rush,Action Crime Thriller David Koepp Joseph Gordon-Levitt Dania Ramirez Aasif Mandvi
hot pursuit,Action Comedy Crime Anne Fletcher Jim Gaffigan Richard T. Jones Michael Mosley
the four feathers,Adventure Drama Romance War Shekhar Kapur Djimon Hounsou Lucy Gordon Alex Jennings
parker,Action Crime Romance Thriller Taylor Hackford Jason Statham Clifton Collins Jr. Wendell Pierce
wimbledon,Comedy Romance Sport Richard Loncraine Kirsten Dunst Jon Favreau Austin Nichols
furry vengeance,Comedy Family Roger Kumble Brendan Fraser Brooke Shields Matt Prokop
bait,Action Horror Sci-Fi Kimble Rendall Alex Russell Cariba Heine Richard Brancatisano
krull,Action Adventure Fantasy Peter Yates Liam Neeson Alun Armstrong Lysette Anthony
lions for lambs,Drama Thriller War Robert Redford Meryl Streep Tom Cruise Andrew Garfield
flight of the intruder,Action Drama Thriller War John Milius Rosanna Arquette Dann Florek Christopher Rich
walk hard: the dewey cox story,Comedy Music Jake Kasdan Tim Meadows Nat Faxon Matt Price
the shipping news,Drama Lasse Hallström Kevin Spacey Scott Glenn Jason Behr
american outlaws,Action Western Les Mayfield Gregory Smith Ronny Cox Harris Yulin
the young victoria,Biography Drama History Romance Jean-Marc Vallée Michiel Huisman Jim Broadbent Thomas Kretschmann
whiteout,Action Crime Mystery Thriller Dominic Sena Tom Skerritt Bashar Rahal Shawn Doyle
the tree of life,Drama Fantasy Terrence Malick Brad Pitt Tye Sheridan Fiona Shaw
knock off,Action Comedy Thriller Hark Tsui Paul Sorvino Lela Rochon Ray Nicholas
the order,Action Mystery Thriller Brian Helgeland Heath Ledger Mark Addy Benno Fürmann
punisher: war zone,Action Crime Drama Thriller Lexi Alexander Julie Benz Wayne Knight Colin Salmon
zoom,Action Adventure Family Sci-Fi Peter Hewitt Kevin Zegers Rip Torn Thomas F. Wilson
the walk,Adventure Biography Drama Thriller Robert Zemeckis Joseph Gordon-Levitt Soleyman Pierini Jade Kindar-Martin
warriors of virtue,Action Adventure Fantasy Ronny Yu Marley Shelton Lee Arenberg Angus Macfadyen
a good year,Comedy Drama Romance Ridley Scott Archie Panjabi Albert Finney Richard Coyle
luther            ,Crime Drama Mystery Thriller unknown Ruth Wilson Indira Varma Warren Brown
radio flyer,Drama Richard Donner Adam Baldwin Thomas Ian Nicholas John Heard
"blood in, blood out",Crime Drama Taylor Hackford Delroy Lindo Jesse Borrego Raymond Cruz
smilla's sense of snow,Action Drama Sci-Fi Thriller Bille August Jim Broadbent Tom Wilkinson Julia Ormond
femme fatale,Crime Drama Mystery Thriller Brian De Palma Peter Coyote Gregg Henry Rie Rasmussen
lion of the desert,Biography Drama History War Moustapha Akkad Oliver Reed Rod Steiger John Gielgud
the horseman on the roof,Adventure Drama Romance War Jean-Paul Rappeneau Olivier Martinez François Cluzet Isabelle Carré
ride with the devil,Drama Romance War Western Ang Lee Jeremy W. Auman Jeffrey Dover Tobey Maguire
biutiful,Drama Alejandro G. Iñárritu Maricel Álvarez Hanaa Bouchaib Eduard Fernández
bandidas,Action Comedy Crime Western Joachim Rønning Salma Hayek Sam Shepard Dwight Yoakam
black water transit,Crime Drama Tony Kaye Bill Cobbs Aisha Tyler Beverly D'Angelo
the maze runner,Action Mystery Sci-Fi Thriller Wes Ball Ki Hong Lee Aml Ameen Jacob Latimore
unfinished business,Comedy Ken Scott Tom Wilkinson June Diane Raphael Melissa McMeekin
the age of innocence,Drama Romance Martin Scorsese Richard E. Grant Geraldine Chaplin Stuart Wilson
the fountain,Drama Sci-Fi Darren Aronofsky Hugh Jackman Ellen Burstyn Mark Margolis
chill factor,Action Adventure Comedy Drama Thriller Hugh Johnson David Paymer Kevin J. O'Connor Hudson Leick
stolen,Action Crime Drama Thriller Simon West Nicolas Cage Mark Valley Sami Gayle
ponyo,Adventure Animation Family Fantasy Hayao Miyazaki Rumi Hiiragi Yûki Amami Yuria Nara
the longest ride,Drama Romance George Tillman Jr. Tiago Riani Melissa Benoist Hayley Lovitt
i dreamed of africa,Adventure Drama Romance Hugh Hudson Liam Aiken Eva Marie Saint Vincent Perez
playing for keeps,Comedy Romance Sport Gabriele Muccino Gerard Butler Dennis Quaid Judy Greer
mandela: long walk to freedom,Biography Drama History Justin Chadwick Terry Pheto Fana Mokoena Tony Kgoroge
reds,Biography Drama History Romance Warren Beatty Paul Sorvino Warren Beatty M. Emmet Walsh
a few good men,Drama Thriller Rob Reiner Tom Cruise Demi Moore Kevin Pollak
exit wounds,Action Comedy Crime Drama Thriller Andrzej Bartkowiak Michael Jai White Bill Duke Bruce McGill
big momma's house,Action Comedy Crime Raja Gosnell Nia Long Cedric the Entertainer Tichina Arnold
thunder and the house of magic,Adventure Animation Comedy Family Fantasy Jeremy Degruson Kyle Hebert Brianne Brozey Joe Ochman
the darkest hour,Action Adventure Horror Sci-Fi Thriller Chris Gorak Max Minghella Veronika Vernadskaya Dato Bakhtadze
step up revolution,Drama Music Romance Scott Speer Ryan Guzman Stephen Boss Misha Gabriel Hamilton
the watcher,Crime Horror Mystery Thriller Joe Charbanic Keanu Reeves Joseph Sikora Chris Ellis
the punisher,Action Crime Drama Thriller Jonathan Hensleigh Laura Harring Marco St. John Eddie Jemison
goal! the dream begins,Drama Romance Sport Danny Cannon Sean Pertwee Kuno Becker Stephen Dillane
safe,Action Crime Thriller Boaz Yakin Jason Statham Reggie Lee Robert John Burke
pushing tin,Comedy Drama Romance Mike Newell Angelina Jolie Pitt Kurt Fuller Jake Weber
star wars: episode vi - return of the jedi,Action Adventure Fantasy Sci-Fi Richard Marquand Harrison Ford Ian McDiarmid Kenny Baker
doomsday,Action Sci-Fi Thriller Neil Marshall Ryan Kruger Jason Cope Jeremy Crutchley
the reader,Drama Romance Stephen Daldry Kate Winslet David Kross Susanne Lothar
wanderlust,Comedy David Wain Justin Theroux Lauren Ambrose Joe Lo Truglio
elf,Comedy Family Fantasy Romance Jon Favreau Peter Dinklage Zooey Deschanel Will Ferrell
phenomenon,Drama Fantasy Romance Sci-Fi Jon Turteltaub Robert Duvall Kyra Sedgwick David Gallagher
snow dogs,Adventure Comedy Family Sport Brian Levant James Coburn Nichelle Nichols M. Emmet Walsh
scrooged,Comedy Drama Fantasy Richard Donner Bill Murray Alfre Woodard Robert Mitchum
nacho libre,Comedy Family Sport Jared Hess Ana de la Reguera Moises Arias Héctor Jiménez
bridesmaids,Comedy Romance Paul Feig Matt Lucas Wendi McLendon-Covey Steve Bannos
this is the end,Comedy Fantasy Evan Goldberg Channing Tatum James Franco Emma Watson
stigmata,Horror Rupert Wainwright Nia Long Enrico Colantoni Portia de Rossi
men of honor,Biography Drama George Tillman Jr. Robert De Niro Charlize Theron Michael Rapaport
takers,Action Crime Thriller John Luessenhop Paul Walker Hayden Christensen Jay Hernandez
the big wedding,Comedy Justin Zackham Robin Williams Robert De Niro Topher Grace
"big mommas: like father, like son",Action Comedy Crime John Whitesell Brandon T. Jackson Tony Curran Portia Doubleday
source code,Mystery Sci-Fi Thriller Duncan Jones Jake Gyllenhaal Cas Anvar Russell Peters
alive,Adventure Biography Drama Thriller Frank Marshall Illeana Douglas Danny Nucci Michael DeLorenzo
the number 23,Mystery Thriller Joel Schumacher Logan Lerman Virginia Madsen Ed Lauter
the young and prodigious t.s. spivet,Action Adventure Drama Family Jean-Pierre Jeunet Callum Rennie Julian Richings Judy Davis
1941,Action Comedy War Steven Spielberg Christopher Lee John Belushi Treat Williams
dreamer: inspired by a true story,Drama Family Sport John Gatins Ken Howard Freddy Rodríguez Holmes Osborne
a history of violence,Crime Drama Thriller David Cronenberg Viggo Mortensen Kyle Schmid William Hurt
transporter 2,Action Crime Thriller Louis Leterrier Jason Statham Jason Flemyng Matthew Modine
the quick and the dead,Action Thriller Western Sam Raimi Leonardo DiCaprio Pat Hingle Roberts Blossom
laws of attraction,Comedy Romance Peter Howitt Frances Fisher Mike Doyle Nora Dunn
bringing out the dead,Drama Thriller Martin Scorsese Nicolas Cage Marc Anthony Sonja Sohn
repo men,Action Crime Sci-Fi Thriller Miguel Sapochnik Alice Braga RZA Yvette Nicole Brown
dragon wars: d-war,Action Drama Fantasy Horror Thriller Hyung-rae Shim Robert Forster Aimee Garcia Chris Mulkey
bogus,Comedy Family Fantasy Norman Jewison Haley Joel Osment Nancy Travis Andrea Martin
the incredible burt wonderstone,Comedy Don Scardino Steve Buscemi Olivia Wilde Steve Carell
cats don't dance,Animation Comedy Family Fantasy Musical Mark Dindal George Kennedy Frank Welker Hal Holbrook
cradle will rock,Drama Tim Robbins Bill Murray Vanessa Redgrave Emily Watson
the good german,Drama Mystery Thriller Steven Soderbergh Tony Curran Beau Bridges Leland Orser
george and the dragon,Action Adventure Comedy Fantasy Romance Tom Reeve Joan Plowright Rollo Weeks Simon Callow
apocalypse now,Drama War Francis Ford Coppola Harrison Ford Marlon Brando Robert Duvall
going the distance,Comedy Romance Nanette Burstein Rob Riggle Kelli Garner Jim Gaffigan
mr. holland's opus,Drama Music Stephen Herek Alicia Witt Olympia Dukakis Jean Louisa Kelly
criminal,Action Crime Drama Mystery Sci-Fi Thriller Ariel Vromen Gary Oldman Jordi Mollà Doug Cockle
out of africa,Biography Drama Romance Sydney Pollack Meryl Streep Michael Gough Michael Kitchen
flight,Drama Thriller Robert Zemeckis Denzel Washington Bruce Greenwood Nadine Velazquez
moonraker,Action Adventure Sci-Fi Thriller Lewis Gilbert Desmond Llewelyn Lois Chiles Lois Maxwell
the grand budapest hotel,Adventure Comedy Crime Drama Wes Anderson Bill Murray Tom Wilkinson F. Murray Abraham
hearts in atlantis,Drama Mystery Scott Hicks Anthony Hopkins Mika Boorem Hope Davis
arachnophobia,Comedy Fantasy Horror Thriller Frank Marshall Julian Sands Peter Jason Brian McNamara
frequency,Crime Drama Mystery Sci-Fi Thriller Gregory Hoblit Dennis Quaid Andre Braugher Noah Emmerich
ghostbusters,Action Comedy Fantasy Sci-Fi Paul Feig Ed Begley Jr. Kate McKinnon Zach Woods
vacation,Adventure Comedy John Francis Daley Chris Hemsworth Norman Reedus Beverly D'Angelo
get shorty,Comedy Crime Thriller Barry Sonnenfeld Delroy Lindo Rene Russo Jon Gries
chicago,Comedy Crime Musical Rob Marshall Colm Feore Chita Rivera Jayne Eastwood
big daddy,Comedy Drama Dennis Dugan Steve Buscemi Adam Sandler Joey Lauren Adams
american pie 2,Comedy J.B. Rogers Alyson Hannigan Shannon Elizabeth Natasha Lyonne
toy story,Adventure Animation Comedy Family Fantasy John Lasseter Tom Hanks John Ratzenberger Jim Varney
speed,Action Adventure Crime Thriller Jan de Bont Keanu Reeves Alan Ruck Joe Morton
the vow,Drama Romance Michael Sucsy Channing Tatum Lucas Bryant Dillon Casey
extraordinary measures,Drama Tom Vaughan Harrison Ford Brendan Fraser Alan Ruck
remember the titans,Biography Drama Sport Boaz Yakin Ryan Gosling Denzel Washington Ethan Suplee
the hunt for red october,Action Adventure Thriller John McTiernan Scott Glenn Jeffrey Jones Courtney B. Vance
lee daniels' the butler,Biography Drama Lee Daniels Alex Pettyfer David Oyelowo Vanessa Redgrave
the addams family,Comedy Fantasy Barry Sonnenfeld Anjelica Huston Raul Julia Carel Struycken
ace ventura: when nature calls,Adventure Comedy Steve Oedekerk Bruce Spence Bob Gunton Sophie Okonedo
the princess diaries,Comedy Family Romance Garry Marshall Anne Hathaway Hector Elizondo Heather Matarazzo
the first wives club,Comedy Hugh Wilson Stockard Channing Elizabeth Berkley Stephen Collins
se7en,Crime Drama Mystery Thriller David Fincher Morgan Freeman Brad Pitt Reg E. Cathey
district 9,Action Sci-Fi Thriller Neill Blomkamp Sharlto Copley Jed Brophy Jason Cope
the spongebob squarepants movie,Adventure Animation Comedy Family Fantasy Stephen Hillenburg Scarlett Johansson Bill Fagerbakke Rodger Bumpass
mystic river,Crime Drama Mystery Thriller Clint Eastwood John Doman Spencer Treat Clark Tom Guiry
million dollar baby,Drama Sport Clint Eastwood Clint Eastwood Morgan Freeman Mike Colter
analyze this,Comedy Crime Harold Ramis Robert De Niro Chazz Palminteri Molly Shannon
the notebook,Drama Romance Nick Cassavetes Ryan Gosling Kevin Connolly Gena Rowlands
27 dresses,Comedy Romance Anne Fletcher Judy Greer Bern Cohen Yetta Gottesman
hannah montana: the movie,Comedy Drama Family Music Romance Peter Chelsom Emily Osment Vanessa Williams Moises Arias
rugrats in paris: the movie,Adventure Animation Comedy Family Romance Stig Bergqvist Elizabeth Daily Casey Kasem Debbie Reynolds
the prince of tides,Drama Romance Barbra Streisand George Carlin Blythe Danner Melinda Dillon
legends of the fall,Drama Romance War Western Edward Zwick Anthony Hopkins Brad Pitt Julia Ormond
up in the air,Drama Romance Jason Reitman J.K. Simmons Anna Kendrick Chris Lowell
about schmidt,Comedy Drama Alexander Payne Hope Davis June Squibb Howard Hesseman
warm bodies,Comedy Horror Romance Jonathan Levine Cory Hardrict Vincent Leclerc Daniel Rindress-Kay
looper,Action Crime Drama Sci-Fi Thriller Rian Johnson Joseph Gordon-Levitt Bruce Willis Tracie Thoms
down to earth,Comedy Fantasy Chris Weitz Chazz Palminteri Mark Addy Wanda Sykes
babe,Comedy Drama Family Chris Noonan Miriam Margolyes Christine Cavanaugh Roscoe Lee Browne
hope springs,Comedy Drama Romance David Frankel Meryl Streep Steve Carell Jean Smart
forgetting sarah marshall,Comedy Drama Romance Nicholas Stoller Mila Kunis Jack McBrayer Maria Thayer
friday night lights            ,Drama Sport unknown Zach Gilford Aimee Teegarden Scott Porter
four brothers,Action Crime Drama Mystery Thriller John Singleton Josh Charles Tony Nappo Fionnula Flanagan
baby mama,Comedy Romance Michael McCullers Tina Fey Amy Poehler Romany Malco
hope floats,Drama Romance Forest Whitaker Bill Cobbs Harry Connick Jr. Gena Rowlands
bride wars,Comedy Romance Gary Winick Anne Hathaway Steve Howey Candice Bergen
without a paddle,Adventure Comedy Mystery Steven Brill Antony Starr Scott Adsit Bonnie Somerville
13 going on 30,Comedy Fantasy Romance Gary Winick Jennifer Garner Judy Greer Christa B. Allen
midnight in paris,Comedy Fantasy Romance Woody Allen Kurt Fuller Audrey Fleurot Nina Arianda
the nut job,Adventure Animation Comedy Family Peter Lepeniotis Liam Neeson Brendan Fraser Sarah Gadon
blow,Biography Crime Drama Ted Demme Johnny Depp Ethan Suplee Jordi Mollà
